"","point","review"
"1","
			
			
				",""
"2","
			
			
			
			",""
"3","
			",""
"4","하 사랑해요 너무 좋아 ㅠㅠ 
			
			
			
				
				
				
				","하 사랑해요 너무 좋아 ㅠㅠ"
"5","
			
			
			",""
"6","
			
			
				",""
"7","
			
			
			
			",""
"8","
			",""
"9","아...  미치겠네....  이게 영화냐... 
			
			
			
				
				
				
				","아...  미치겠네....  이게 영화냐..."
"10","
			
			
			",""
"11","
			
			
				",""
"12","
			
			
			
			",""
"13","
			",""
"14","순례자의 길은 어떤걸까.순례자는 어떤 사람들일까.굳이 정의내리지 않아도 이 한편의 다큐영화를 통해 이춘숙 어머님과 함께 발걸음을 내딛으며 절로 자연의 티끌같은 존재로서 신을 경외하고 사람들은 사랑하는 순례자가 되는 듯하다.여든이 넘는 이춘숙님의 꿈은 네버엔딩이다. 아흔이 되면 인도로 떠날 준비를 하고계신다고 하니 나이는 숫자에 불과하단걸 보여준다. 앞으로 살날이 몇OO이나 남았다고 자조하는 내 자신을 반성하며 안티에이징에 몸부림치지 말고 아름다운 에이징을 준비하자고 다짐해본다. 
			
			
			
				
				
				
				","순례자의 길은 어떤걸까.순례자는 어떤 사람들일까.굳이 정의내리지 않아도 이 한편의 다큐영화를 통해 이춘숙 어머님과 함께 발걸음을 내딛으며 절로 자연의 티끌같은 존재로서 신을 경외하고 사람들은 사랑하는 순례자가 되는 듯하다.여든이 넘는 이춘숙님의 꿈은 네버엔딩이다. 아흔이 되면 인도로 떠날 준비를 하고계신다고 하니 나이는 숫자에 불과하단걸 보여준다. 앞으로 살날이 몇OO이나 남았다고 자조하는 내 자신을 반성하며 안티에이징에 몸부림치지 말고 아름다운 에이징을 준비하자고 다짐해본다."
"15","
			
			
			",""
"16","
			
			
				",""
"17","
			
			
			
			",""
"18","
			",""
"19","티모시땜에 봤는데 릴리 레이브의 연기에 반했다 
			
			
			
				
				
				
				","티모시땜에 봤는데 릴리 레이브의 연기에 반했다"
"20","
			
			
			",""
"21","
			
			
				",""
"22","
			
			
			
			",""
"23","
			",""
"24","역겨운 중국짱깨들의 sns중독영화 
			
			
			
				
				
				
				","역겨운 중국짱깨들의 sns중독영화"
"25","
			
			
			",""
"26","
			
			
				",""
"27","
			
			
			
			",""
"28","
			",""
"29","실사 개망작때문에 머리 앓다가 무슈랑 샹 그리고 reflection이 너무 그리워서 원작 애니 봅니다. 원작 애니 뮬란 감동은 그대로다. 내 최애 디즈니 영화.  실사 다시 만들어줬으면 ㅠ 너무 중국입맛에 맞췄다~~ 절대 안봐ㅠ 
			
			
			
				
				
				
				","실사 개망작때문에 머리 앓다가 무슈랑 샹 그리고 reflection이 너무 그리워서 원작 애니 봅니다. 원작 애니 뮬란 감동은 그대로다. 내 최애 디즈니 영화.  실사 다시 만들어줬으면 ㅠ 너무 중국입맛에 맞췄다~~ 절대 안봐ㅠ"
"30","
			
			
			",""
"31","
			
			
				",""
"32","
			
			
			
			",""
"33","
			",""
"34","애써 담담한척 괜찮은척하는 모녀가 힘냈으면.. 
			
			
			
				
				
				
				","애써 담담한척 괜찮은척하는 모녀가 힘냈으면.."
"35","
			
			
			",""
"36","
			
			
				",""
"37","
			
			
			
			",""
"38","
			",""
"39","진짜 불면증 치료제 될 수 있을거 같음 
			
			
			
				
				
				
				","진짜 불면증 치료제 될 수 있을거 같음"
"40","
			
			
			",""
"41","
			
			
				",""
"42","
			
			
			
			",""
"43","
			",""
"44","컴공과라 울면서 봤다 ㄹㅇ 당시 영상미와 웅장하고 화려한 OST에 경의를 표한다. 
			
			
			
				
				
				
				","컴공과라 울면서 봤다 ㄹㅇ 당시 영상미와 웅장하고 화려한 OST에 경의를 표한다."
"45","
			
			
			",""
"46","
			
			
				",""
"47","
			
			
			
			",""
"48","
			",""
"49","왠지 모를 어색함 연기가 좀 그렇네 
			
			
			
				
				
				
				","왠지 모를 어색함 연기가 좀 그렇네"
"50","
			
			
			",""
