"","comicName","comicSummary","comicGrade"
"1","
                                        낯가리는 관종
                                    ","낯가리는 관종일기","9.84"
"2","
                                        너구리네 육아일기
                                    ","육아일기","9.77"
"3","
                                        에밀리 이야기
                                    ","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.76"
"4","
                                        광해와 이순신
                                    ","전쟁을 이긴 영웅들","9.55"
"5","
                                        너어는지인짜
                                    ","아주 조금 요란함","9.62"
"6","
                                        개판오분전
                                    ","좌충우돌 성장통일상","9.60"
"7","
                                        집에가고싶다
                                    ","집곰팡이의 일상","9.89"
"8","
                                        선선한 이야기
                                    ","선선한 하루 되세요","9.65"
"9","
                                        아빠는 N살
                                    ","아빠 4컷 그림일기","9.91"
"10","
                                        너의 여집합
                                    ","네가 없는 세상","9.81"
"11","
                                        무엇이든 그려드립니닷!
                                    ","무엇이든그려드립니닷","9.85"
"12","
                                        주저드
                                    ","동물 마법사 이야기","9.62"
"13","
                                        공작일보 工作日<U+62A5>
                                    ","보부장의 상해 살이","9.14"
"14","
                                        메멘토모리
                                    ","죽음을 기억하라!","9.87"
"15","
                                        ZET
                                    ","우주요원 제트","9.24"
"16","
                                        모두의 미아씨
                                    ","미아씨의 매일매일","9.14"
"17","
                                        소소일기
                                    ","작고 소중해","9.59"
"18","
                                        아좀비
                                    ","아침 드라마형 좀비","8.08"
"19","
                                        괜찮아, 고3이야
                                    ","너와나의 리얼고3툰","9.91"
"20","
                                        조선귀변사
                                    ","사도세자의 퇴마기","9.41"
"21","
                                        싸카소녀
                                    ","소녀들의 스뽀오츠!","9.86"
"22","
                                        화분
                                    ","그런 세상 이야기","9.91"
"23","
                                        잠자던 숲속의 공주
                                    ","잠자던 공주 귀환기","9.67"
"24","
                                        소환진이 좀 이상해 보이는 건 기분 탓이겠지
                                    ","판타지 일상물","9.91"
